Provider Name,Country,Region,Area,Address,Work Tel,Fax,Network 1,Network 2,Profile,email,Google Map,Website
MEDEOR 24X7 HOSPITAL LLC,United Arab Emirates,Dubai,Bur Dubai,"Umm Hurair 1, Near Burjuman, Bur Dubai, Dubai  ",04-3500600,04-3500601,IRIS / RAK INSURANCE,,,,,
INTERNATIONAL MODERN HOSPITAL,United Arab Emirates,Dubai,Mankhool,"Port Rashid Road,Al Mankhool Area, Bur Dubai",04-4063030,04-3981312,IRIS / RAK INSURANCE,,,,,
NMC HOSPITAL - DIP,United Arab Emirates,Dubai,Dubai Investment Park,"Plot no # 598/122,Dubai Investments Park 1,Behind Falcon house - Dubai",04 8108800,04 8854274,IRIS / RAK INSURANCE,NOOR TAKAFUL,,,,
LIFELINE HOSPITAL (EX.JEBEL ALI HOSPITAL),United Arab Emirates,Dubai,JEBEL ALI,6th Interchange (Exit 25) -  Adjacent to The Gardens - Next to Jebel Ali Primary School -  Next to  Muntazza complex  -  Jabel Ali -  Dubai ,04 8845666,04 8845777,IRIS / RAK INSURANCE,,,,,
CEDARS JEBEL ALI INTERNATIONAL HOSPITAL,United Arab Emirates,Dubai,JEBEL ALI,"P.O. BOX NO: 17666, FREE ZONE GATE NO 2, DUGHAZ ROAD, JEBEL ALI",04 8814000,04 8814661,IRIS / RAK INSURANCE,NOOR TAKAFUL,,,,
NMC SPECIALTY HOSPITAL - DUBAI,United Arab Emirates,Dubai,Al Nahda,"7 A St, Amman Street,Al Nahda 2 ,Next to Bait AL Khair Building - Dubai",04 2679999,04 2678724,IRIS / RAK INSURANCE,NOOR TAKAFUL,,,,
BELHOUL SPECIALITY HOSPITAL (L.L.C.),United Arab Emirates,Dubai,Deira,"2nd Street, Al Khaleej Rd, Deira - Dubai",04-2733333,04-2733332,IRIS / RAK INSURANCE,NOOR TAKAFUL,,,,
NEW MEDICAL CENTER HOSPITAL-DEIRA,United Arab Emirates,Dubai,Hor Al Anz,"Al Safiya Building,Mez.Floor,Hor Al Anz Metro Station,Abu Hail,Oppost Ramada Continental Hotel,Deira  ",04 2689800,04 2682353,IRIS / RAK INSURANCE,NOOR TAKAFUL,,,,
MEDSTAR HEALTHCARE LLC,United Arab Emirates,Dubai,OUD METHA,"P.O. Box: 117084,Gulf Tower, Ground Floor,Oud Metha, Beside KM Trading,Dubai, UAE",04 3577877,04 3885992,IRIS / RAK INSURANCE,,,,,
ASTER HOSPITAL,United Arab Emirates,Dubai,Bur Dubai,"Kuwait Road,Al Mankhool,Bur Dubai, Near Sharaf DG - Dubai",04-4400500 / 04 3814800,04-3552321,IRIS / RAK INSURANCE,NOOR TAKAFUL,,,,
THUMBAY HOSPITAL LLC,UNITED Arab Emirates,Dubai,Al Qusais,"13th Street, Al Qusais Near Lulu Hypermarket",04 - 6030555 ,04 - 2988804 ,,NOOR TAKAFUL,,,,
